2026-05-22 14:12:16 | ERROR    | __main__:_make_request:56 - Erro na requisição para https://musicbrainz.org/ws/2/artist/23998f9a-fd11-40bc-88a4-cf9e3cbd5d78: HTTPSConnectionPool(host='musicbrainz.org', port=443): Max retries exceeded with url: /ws/2/artist/23998f9a-fd11-40bc-88a4-cf9e3cbd5d78?inc=tags%2Bgenres%2Bratings&fmt=json (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1032)')))
2026-05-22 14:12:17 | ERROR    | __main__:_make_request:56 - Erro na requisição para https://musicbrainz.org/ws/2/artist: HTTPSConnectionPool(host='musicbrainz.org', port=443): Max retries exceeded with url: /ws/2/artist?query=artist%3A%22LON3R+JOHNY%22&limit=1&fmt=json (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1032)')))
2026-05-22 14:12:18 | ERROR    | __main__:_make_request:56 - Erro na requisição para https://musicbrainz.org/ws/2/artist: HTTPSConnectionPool(host='musicbrainz.org', port=443): Max retries exceeded with url: /ws/2/artist?query=artist%3A%22Drake%22&limit=1&fmt=json (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1032)')))
2026-05-22 14:12:20 | ERROR    | __main__:_make_request:56 - Erro na requisição para https://musicbrainz.org/ws/2/artist: HTTPSConnectionPool(host='musicbrainz.org', port=443): Max retries exceeded with url: /ws/2/artist?query=artist%3A%22Black+Eyed+Peas%22&limit=1&fmt=json (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1032)')))
2026-05-22 14:12:21 | ERROR    | __main__:_make_request:56 - Erro na requisição para https://musicbrainz.org/ws/2/artist: HTTPSConnectionPool(host='musicbrainz.org', port=443): Max retries exceeded with url: /ws/2/artist?query=artist%3A%22Pitbull%22&limit=1&fmt=json (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1032)')))
2026-05-22 14:12:22 | ERROR    | __main__:_make_request:56 - Erro na requisição para https://musicbrainz.org/ws/2/artist: HTTPSConnectionPool(host='musicbrainz.org', port=443): Max retries exceeded with url: /ws/2/artist?query=artist%3A%22Sean+Paul%22&limit=1&fmt=json (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1032)')))
2026-05-22 14:12:23 | ERROR    | __main__:_make_request:56 - Erro na requisição para https://musicbrainz.org/ws/2/artist: HTTPSConnectionPool(host='musicbrainz.org', port=443): Max retries exceeded with url: /ws/2/artist?query=artist%3A%22Travis+Scott%22&limit=1&fmt=json (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1032)')))
2026-05-22 14:12:25 | ERROR    | __main__:_make_request:56 - Erro na requisição para https://musicbrainz.org/ws/2/artist: HTTPSConnectionPool(host='musicbrainz.org', port=443): Max retries exceeded with url: /ws/2/artist?query=artist%3A%2221+Savage%22&limit=1&fmt=json (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1032)')))
2026-05-22 14:12:26 | ERROR    | __main__:_make_request:56 - Erro na requisição para https://musicbrainz.org/ws/2/artist: HTTPSConnectionPool(host='musicbrainz.org', port=443): Max retries exceeded with url: /ws/2/artist?query=artist%3A%22Flo+Rida%22&limit=1&fmt=json (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1032)')))
2026-05-22 14:12:27 | ERROR    | __main__:_make_request:56 - Erro na requisição para https://musicbrainz.org/ws/2/artist: HTTPSConnectionPool(host='musicbrainz.org', port=443): Max retries exceeded with url: /ws/2/artist?query=artist%3A%22Kanye+West%22&limit=1&fmt=json (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1032)')))
2026-05-22 14:12:28 | ERROR    | __main__:_make_request:56 - Erro na requisição para https://musicbrainz.org/ws/2/artist: HTTPSConnectionPool(host='musicbrainz.org', port=443): Max retries exceeded with url: /ws/2/artist?query=artist%3A%22Metro+Boomin%22&limit=1&fmt=json (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1032)')))
